,F1,F2,F3
B52,2.8258043901785657,-0.10023281261532903,-0.20214023404385764
B73,-1.85261541727368,-0.3268266690040184,-0.2094884104987926
CML247,-1.835625045926981,0.31333930747138095,0.21277219087254062
CML254,-1.526292468208108,0.5060860675809538,0.1180249298249094
CML322,-2.8496663435388334,0.9503210655929618,0.4514447028875043
CML332,-1.5406812889688855,1.9469480036309528,-0.05896026145864201
CML38,-2.1244511959521244,1.485338617004713,0.8343064075789046
CML61,-1.6097366018270318,0.6006584304117161,-0.26105273738858703
CML92,0.50345578238993,0.569018617798189,0.14352999863548035
EP1,-1.7060741531208516,-2.910174115779592,-1.3378244748246055
H91,1.9598301470992214,1.201339210073912,-0.9486019847919309
Ky21,1.5358242445404087,0.9301107352094345,-0.15224432982026703
MS1334,1.9947884511325913,-0.995556785007,-0.09128376756775851
Mo17,-0.8495215421502449,-1.2143835696446574,0.5459881219142481
NC326,-2.7850623448052656,-1.587064015626471,-2.365132698245262
NC350,-0.8523863730672294,1.6805940820604297,0.8714965951823683
NC358,2.948922131560152,0.2905884462711758,-0.39459054165539187
Oh7B,0.4533295803422907,-0.08715667080970396,-0.2686695561612485
P39,2.019098757855165,0.13199751597882806,0.10798150829615182
Pa91,0.7064917851205735,-2.041345902216783,1.399398488152691
R168,2.205794541866288,0.9665152773575844,-1.0184488047585283
U267Y,1.4901787779583555,-0.3754306655978128,0.7624197917504536
W22,0.8885941847956943,-1.9346841701408846,1.861075066119615
