Gene,n_links,max_abs_r,log2FoldChange,DESeq2_padj
Zm00001d035212,670,0.8284821309712449,1.1637510553336063,2.854722887482751e-06
Zm00001d036956,636,0.8779827054453558,2.241570199630222,0.00016217505479715355
Zm00001d007768,610,0.8934430826327007,1.9851775754711627,2.8007665023243818e-05
Zm00001d022060,524,0.8981992841798566,4.284839078473209,2.5634577884544582e-11
Zm00001d053997,518,0.8477332575851192,-0.9858582583058975,0.00014398673758007617
Zm00001d047366,486,0.877447214885758,1.3674713864321506,2.218561625967045e-05
Zm00001d018786,474,0.8630495755848088,3.4065530323611433,2.54662520901621e-06
Zm00001d049769,455,0.8461999706195137,1.7011814021843514,1.945264105326891e-06
Zm00001d003767,438,0.8822598647648001,1.8595894593592315,0.0003572113138246403
Zm00001d045497,413,0.8712631952415205,-0.7184018852899868,8.250441975754362e-07
Zm00001d002836,412,0.8734307823274463,-1.854033159245419,3.06306433588551e-11
Zm00001d018297,387,0.832331094221371,1.192051571456133,3.2264502539929734e-14
Zm00001d048083,377,0.8598146283745863,3.547162965423495,0.00038019814379973974
Zm00001d043762,360,0.8828062113546956,-1.2280750018241673,7.593902922500593e-08
Zm00001d033109,339,0.8691372390045753,0.8644090057877843,3.447517928181783e-07
Zm00001d042727,332,0.9009927841886275,2.674705928466133,5.893121889425986e-11
Zm00001d034359,329,0.9454029938236584,2.4635324454758796,8.687177734532646e-07
Zm00001d026448,325,0.8319896212629573,1.2253432126183328,0.00041338105183667866
Zm00001d023877,308,0.8788616277965403,1.5591626454048553,2.6371032222545167e-05
Zm00001d021689,303,0.9441644234660195,2.0727004521121972,4.116077592130899e-05
Zm00001d012708,303,0.8373198030827602,1.574566544887275,6.418638208465426e-08
Zm00001d012140,291,0.9104791165860249,-0.6316328097672846,0.00011472572162514227
Zm00001d010321,286,0.8870610368815125,-3.4317184630519724,2.2632129226878845e-05
Zm00001d029342,280,0.8659721195239058,-0.6169665157877886,0.00025146897081001807
Zm00001d012126,280,0.8045249813263368,0.8877820882610143,5.510017017600316e-06
Zm00001d021879,275,0.8708741793653215,1.418655347303311,2.982254315898651e-06
Zm00001d013429,268,0.9101430666734133,4.992258316835846,2.650704947238024e-07
Zm00001d013385,267,0.8799483029648102,1.85629402158435,1.4938252431218206e-05
Zm00001d003468,262,0.7907965093767427,1.1587464179862905,0.00010333675463295095
Zm00001d016271,261,0.8980910324538125,2.981791306719625,5.5335743551717855e-05
Zm00001d042969,260,0.8854813634743682,2.985797358233117,2.5918365703436893e-06
