Gene,0
Zm00001d052467,0.0
Zm00001d036136,0.0
Zm00001d012801,0.0
Zm00001d008200,0.0
Zm00001d016982,0.0
Zm00001d027841,0.0
Zm00001d053991,-0.0
Zm00001d039310,-0.0
Zm00001d024890,-0.0
Zm00001d013635,0.0
Zm00001d024014,0.0
Zm00001d005495,-0.0
Zm00001d004409,-0.0
Zm00001d008367,-0.0
Zm00001d020954,-0.0
Zm00001d029699,0.0
Zm00001d014401,0.25324385855332276
Zm00001d002347,0.0
Zm00001d012420,0.0
Zm00001d001984,-0.0
Zm00001d049380,0.0
Zm00001d023704,-0.0
Zm00001d042969,0.0
Zm00001d012690,-0.0
Zm00001d005193,0.0
Zm00001d020614,0.0
Zm00001d017720,-0.2816752074521805
Zm00001d012900,-0.0
Zm00001d010321,-0.0
Zm00001d027557,0.0
Zm00001d023664,0.0
Zm00001d021436,-0.0
Zm00001d038764,-0.0
Zm00001d026156,0.0
Zm00001d035684,0.0
Zm00001d002007,0.0
Zm00001d013053,0.0
Zm00001d029680,-0.0
Zm00001d047749,0.0
Zm00001d023995,0.0
Zm00001d029490,0.0
Zm00001d024835,-0.0
Zm00001d021889,0.0
Zm00001d034497,0.0
Zm00001d035212,-0.0
Zm00001d038703,0.0
Zm00001d049769,0.0
Zm00001d037059,0.0
Zm00001d037708,-0.0
Zm00001d043341,-0.0
Zm00001d022457,-0.0
Zm00001d044497,-0.0
Zm00001d031666,-0.0
Zm00001d039417,0.0
Zm00001d025208,-0.0
Zm00001d008035,-0.0
Zm00001d003822,0.0
Zm00001d038712,-0.0
Zm00001d019507,-0.0
Zm00001d027472,-0.0
Zm00001d035579,0.0
Zm00001d032686,-0.0
Zm00001d017240,0.0
Zm00001d012407,0.0
Zm00001d039711,-0.0
Zm00001d047062,0.0
Zm00001d018036,-0.0
Zm00001d043853,0.0
Zm00001d038756,0.0
Zm00001d011666,0.0
Zm00001d033607,-0.0
Zm00001d025414,-0.0
Zm00001d002974,-0.0
Zm00001d032197,-0.0
Zm00001d012140,-0.0
Zm00001d027291,0.0
Zm00001d048662,-0.0
Zm00001d047366,-0.0
Zm00001d023327,0.0
Zm00001d028745,0.0
Zm00001d038870,0.0
Zm00001d048334,0.0
Zm00001d030544,0.0
Zm00001d011638,-0.0
Zm00001d048044,-0.0
Zm00001d011882,0.0
Zm00001d017640,0.0
Zm00001d017019,-0.0
Zm00001d005421,0.0
Zm00001d042888,0.0
Zm00001d027519,-0.0
Zm00001d018820,0.0
Zm00001d050154,0.0
Zm00001d005281,-0.0
Zm00001d000195,-0.0
Zm00001d044302,0.0
Zm00001d031203,0.0
Zm00001d008468,0.0
Zm00001d022111,-0.0
Zm00001d020429,-0.0
Zm00001d038532,0.0
Zm00001d043924,0.0
Zm00001d047939,0.0
Zm00001d045963,0.0
Zm00001d015127,-0.0
Zm00001d052076,-0.0
Zm00001d043965,-0.0
Zm00001d039712,-0.0
Zm00001d018660,0.0
Zm00001d040383,-0.0
Zm00001d038275,0.0
Zm00001d029353,0.0
Zm00001d003492,-0.0
Zm00001d010662,-0.0
Zm00001d052014,-0.0
Zm00001d044079,-0.0
Zm00001d029237,0.0
Zm00001d045597,0.0
Zm00001d012806,-0.0
Zm00001d016727,-0.0
Zm00001d029625,0.0
Zm00001d020506,-0.0
Zm00001d034617,0.0
Zm00001d000183,-0.0
Zm00001d023384,0.0
Zm00001d022965,-0.0
Zm00001d044515,-0.0
Zm00001d041604,-0.0
Zm00001d014559,-0.0
Zm00001d031345,0.0
Zm00001d015700,0.0
Zm00001d003515,-0.0
Zm00001d048098,-0.0
ZeamMp050,-0.0
Zm00001d009883,-0.0
Zm00001d024745,0.0
Zm00001d028923,0.0
Zm00001d012687,0.0
Zm00001d020775,0.0
Zm00001d048469,0.0
Zm00001d004443,0.0
Zm00001d021070,-0.0
Zm00001d020136,-0.0
Zm00001d016128,0.0
Zm00001d023294,0.0
Zm00001d018119,0.0
Zm00001d012939,0.0
Zm00001d037004,-0.0
Zm00001d051475,0.0
Zm00001d026038,0.0
Zm00001d011073,0.0
Zm00001d051873,-0.0
Zm00001d027131,-0.0
Zm00001d007687,-0.0
Zm00001d001856,-0.0
Zm00001d029098,0.0
Zm00001d008620,0.0
Zm00001d043156,-0.0
Zm00001d029756,0.0
Zm00001d012667,0.0
Zm00001d024936,0.0
Zm00001d018902,0.0
Zm00001d019298,-0.0
Zm00001d011920,0.0
Zm00001d007488,0.0
Zm00001d051800,-0.0
Zm00001d046263,0.0
Zm00001d013596,0.0
Zm00001d008485,0.0
Zm00001d012260,-0.0
Zm00001d000128,0.0
Zm00001d043519,0.0
Zm00001d034433,0.0
Zm00001d043684,-0.0
Zm00001d049771,-0.0
Zm00001d026573,0.0
Zm00001d009907,-0.0
Zm00001d053240,0.0
Zm00001d053409,-0.0
Zm00001d053997,-0.0
Zm00001d015594,0.0
Zm00001d008587,0.0
Zm00001d035558,0.0
Zm00001d044142,0.0
Zm00001d028596,-0.0
