Gene,Metabolite,a (g→m),b (m→e|g),c_total (g→e),c_direct,prop_mediated,sobel_z,sobel_p,FDR
Zm00001d018428,C_31717_353.1450mz_4.70min_32213_,-1.0173739825419308,0.5022495187415571,-0.33799944215353583,0.17297615095833088,1.511764604865107,-2.6252463298469575,0.016215425597985167,0.20964812964426288
Zm00001d008951,C_31717_353.1450mz_4.70min_32213_,-0.542209615007537,0.48808562850336784,-0.13213125279337307,0.13251346792815089,2.002892692884518,-2.551994695110635,0.018995002409672113,0.20964812964426288
Zm00001d026194,C_11766_384.2742mz_13.27min_44745_,0.625254522777111,-0.5776353733132978,0.05951267500889255,0.420681804689078,-6.068776603071842,-2.501649234877915,0.02115889416400174,0.20964812964426288
Zm00001d008951,C_32821_224.0279mz_5.10min_106276_,-0.57748361826504,0.43879723404091725,-0.13213125279337307,0.12126696160526694,1.9177765217658558,-2.4971399731134536,0.021363587370838877,0.20964812964426288
Zm00001d009118,C_31717_353.1450mz_4.70min_32213_,-0.7475943049879431,0.5056531706943111,-0.12140047101272214,0.25662295969744414,3.113854728541798,-2.480108863289145,0.022153540604209043,0.20964812964426288
Zm00001d002848,C_917_212.0385mz_1.69min_86156_,0.4948379147095854,0.7875159825655474,-0.03931729843038424,-0.42901006504358924,-9.911483804086908,2.437278976352704,0.02426243601928091,0.20964812964426288
Zm00001d012313,C_957_115.0039mz_1.71min_9228_,-0.5009366583138883,0.640848418495894,-0.05135212495617003,0.2696723402909034,6.251434882608532,-2.380082773614803,0.02737115649913302,0.20964812964426288
Zm00001d009118,C_11766_384.2742mz_13.27min_44745_,0.7146077130854678,-0.4854549273863082,-0.12140047101272214,0.22550936445287878,2.857565811497112,-2.3214573187060115,0.0309379497715081,0.20964812964426288
Zm00001d008951,C_32393_413.0742mz_4.93min_88851_,-0.3820494926838089,0.5704620947532519,-0.13213125279337307,0.08581350110244865,1.6494565009282387,-2.264369160021991,0.03481918828872366,0.20964812964426288
Zm00001d009118,C_34974_183.0416mz_5.73min_84213_,-0.5568014167821073,0.6387222047943445,-0.12140047101272214,0.23424095754696006,2.9294896930211483,-2.256758240308945,0.0353691741847304,0.20964812964426288
Zm00001d008951,C_11766_384.2742mz_13.27min_44745_,0.5040263010527493,-0.45022038784555946,-0.13213125279337307,0.09479166395095781,1.717405321958107,-2.252537865016565,0.0356775757193315,0.20964812964426288
Zm00001d014401,C_917_212.0385mz_1.69min_86156_,-0.38665115286782387,0.7536875246154847,0.06402943278103362,0.3554435830757071,-4.551253035322754,-2.2409201206149842,0.03653932076810462,0.20964812964426288
Zm00001d018428,C_32821_224.0279mz_5.10min_106276_,-0.8700879932136039,0.3531905773090766,-0.33799944215353583,-0.030692561520726174,0.9091934550981178,-2.2380122905024997,0.03675797338491127,0.20964812964426288
Zm00001d009118,C_957_115.0039mz_1.71min_9228_,-0.5815777571563683,0.5794570812984292,-0.12140047101272214,0.2155988786971954,2.7759311549508054,-2.2038326157700046,0.03941942862257819,0.20964812964426288
Zm00001d035367,C_32821_224.0279mz_5.10min_106276_,-0.8977345959151747,0.4096696590564598,-0.3129851552839256,0.05478947054783162,1.1750545341299945,-2.1755657760833773,0.04175216074372545,0.20964812964426288
Zm00001d017720,C_32821_224.0279mz_5.10min_106276_,1.3077051940008038,0.33181016181519063,0.5299799236773146,0.09607005164934264,0.818728885081624,2.1693988885774784,0.04227750843442335,0.20964812964426288
