,F1,F2,F3
B52,2.825831385070416,-0.10056264017953584,-0.20210408979911956
B73,-1.8527382590722588,-0.32683506216441394,-0.20792888019601455
CML247,-1.835718345805995,0.3134742086376593,0.21293219150460385
CML254,-1.5264325910337542,0.5059412119375969,0.11735320899498437
CML322,-2.8496133730030517,0.9505899290799412,0.4519533691975809
CML332,-1.5407125350961153,1.946646255412717,-0.06035736560756621
CML38,-2.124086355483352,1.4860674280466366,0.8357083938184213
CML61,-1.6099652511428049,0.600370333377824,-0.26181701343606156
CML92,0.5034551345935901,0.5689412554551035,0.14161897314223337
EP1,-1.706497507242518,-2.9100049529689973,-1.332684311119579
H91,1.9597803042311914,1.2006045649151706,-0.9494411541346939
Ky21,1.5359219217341842,0.929800995026934,-0.15411939097248417
MS1334,1.9949569383495793,-0.9955635726708398,-0.09069270256791831
Mo17,-0.8495730010066447,-1.2140450906640816,0.5458846517584339
NC326,-2.786084529931851,-1.5882553203989254,-2.3631752996543454
NC350,-0.851967287248808,1.6811430687116147,0.8725298966881821
NC358,2.949119816832813,0.2903398799133772,-0.39373935917966807
Oh7B,0.4532306752794539,-0.08737147927222341,-0.27114869211668935
P39,2.0192121631407236,0.131874927890587,0.10726980696676702
Pa91,0.7067634413317961,-2.040315168083525,1.3986475305637258
R168,2.205691848715127,0.9657741057076313,-1.0195538360514798
U267Y,1.4903563775011628,-0.3751762535028103,0.7618779606540276
W22,0.8890690292871142,-1.933438624207439,1.8609861115466608
