Gene,log2FC_RvS,t,p_welch,FDR_welch,p_wilcoxon,FDR_wilcoxon
Zm00001d051238,0.9406080262727285,5.158088307087574,1.7399881407977655e-06,0.0013456322571726719,5.0075449753373615e-06,0.002126144684234416
Zm00001d039991,1.7164877055334085,5.109814182636458,2.1516923717776885e-06,0.0016066464351197954,1.8722095244174194e-06,0.0012555940199826402
Zm00001d027655,1.5098208761635163,5.101455953565194,2.429268402291556e-06,0.0016753185246007037,6.702984688399878e-06,0.0025025246628036374
Zm00001d023617,-1.5584689762818726,-5.093543570683904,2.522125983992087e-06,0.0016753185246007037,1.095698276544524e-05,0.003341725419759877
Zm00001d017985,-0.4662563615997266,-5.0799226109200255,2.5361811299158883e-06,0.0016753185246007037,1.0102831441275365e-05,0.0032171575298437756
Zm00001d011132,-1.3054089024269437,-5.0458334144295645,2.721245666809265e-06,0.0016753185246007037,3.8560542959126644e-05,0.00600712228228006
Zm00001d001497,-0.8580458634643571,-5.134315081209594,2.749522860003187e-06,0.0016753185246007037,4.1610570691226463e-05,0.006129491821413727
Zm00001d028596,-1.0730605465283318,-5.171677438403459,2.833002829668706e-06,0.0016753185246007037,8.508534955468349e-08,0.00018424381592571163
Zm00001d023579,0.9190177421866585,5.080516601217912,2.8585334017834e-06,0.0016753185246007037,4.2595466305353095e-07,0.00048545380388216624
Zm00001d016271,0.5103103134747737,5.275684915689173,2.862602078610235e-06,0.0016753185246007037,7.5868157929341575e-06,0.0026497565996805848
Zm00001d049390,-1.589578690784835,-5.027861861647825,3.007750051664077e-06,0.0017139426215456294,8.939833559613527e-06,0.002889300834326438
Zm00001d037542,-1.5334694771555264,-4.985827567089883,3.3598774458411275e-06,0.0018655073387754816,5.676679975428124e-06,0.002276348670146678
Zm00001d006088,-1.47240514084462,-4.970773380847695,3.657710858874094e-06,0.001980101773451491,5.9181546978918145e-06,0.002330031305966352
Zm00001d020694,-0.8738673267881563,-4.97521715594674,3.7696013426743753e-06,0.0019909011579090467,3.888777398602393e-06,0.0017916507614752389
Zm00001d032989,0.6930846812166713,5.024538989661818,4.226220576995943e-06,0.0021056311051350003,0.00018566292727676979,0.013536515243269941
Zm00001d009182,0.9307163355869719,5.01917811904968,4.293908782278589e-06,0.0021056311051350003,3.438045708472282e-05,0.005639957709943848
Zm00001d037708,-1.3524009628480762,-4.947693768749384,4.343495577132295e-06,0.0021056311051350003,6.291350421732306e-05,0.007526679670286814
Zm00001d049469,1.288396036797856,4.971663528163355,4.470152968369859e-06,0.0021056311051350003,5.521258765628856e-05,0.007032784547701602
Zm00001d034278,-1.2758278137449004,-4.908898781974772,4.528434241416974e-06,0.0021056311051350003,2.523565855390787e-05,0.005107036918937579
Zm00001d006771,0.6391641533928327,4.932132384714454,4.576025971755731e-06,0.0021056311051350003,2.0750782434018675e-05,0.00463234477140454
Zm00001d034814,1.2544212052715,4.965390614315216,4.667511454995844e-06,0.0021056311051350003,5.4188264138927104e-05,0.006943151903339216
Zm00001d026038,-0.8277208392465698,-5.073756090136331,4.95394295497359e-06,0.002189238382591798,0.00013755659596025423,0.011635353628606817
Zm00001d013635,1.684018883832929,4.880887080945313,5.163404925744291e-06,0.0022361674052413373,1.5729360727871078e-05,0.003938150560994668
Zm00001d035413,1.252578338289278,4.880113464983518,5.313987158486635e-06,0.0022389191573223433,4.3220104609286175e-05,0.006311800894002472
Zm00001d046661,0.9833842016380636,4.8833209021761155,5.376549190946793e-06,0.0022389191573223433,1.3952788017918133e-05,0.003873508612051273
Zm00001d047833,-0.47817300526968953,-4.8534946759673145,5.620602448192732e-06,0.002252979542237229,3.143503464921089e-06,0.0016473894123017476
Zm00001d020506,0.8159052591216405,4.85533933037149,5.794489576124858e-06,0.002252979542237229,5.219338679923695e-05,0.006767638309884292
Zm00001d042727,1.4508757867037725,4.997166260111226,5.875186399604551e-06,0.002252979542237229,8.765120314145085e-05,0.00903809120392846
